keyword,count,mean,median
商业分析师,79,14588.61,12500.0
商业智能分析师,59,13500.0,11000.0
用户分析师,123,12451.22,10500.0
BI分析师,136,12143.38,11500.0
运营分析师,68,12014.71,10250.0
数据分析师,289,11698.1,10500.0
经营分析师,116,11056.03,9000.0
商务分析师,75,8873.33,8000.0
数据运营分析师,71,8147.89,7500.0
数据分析实习生,10,7400.0,6500.0
