experience_std,count,mean,median,min,max
1-3年,373,9695.71,8500.0,3500.0,32500.0
10年以上,3,32500.0,32500.0,30000.0,35000.0
3-5年,270,13849.07,12500.0,3750.0,42500.0
5-10年,106,17976.42,16500.0,7500.0,40000.0
不限,257,9529.18,8500.0,1500.0,37500.0
其他/未说明,17,7205.88,6500.0,2500.0,11500.0
