keyword,SQL,Excel,Python,Tableau,Power BI,R,数据可视化,机器学习,数据建模,数据仓库
数据分析师,0.4697986577181208,0.3859060402684564,0.4899328859060403,0.22818791946308725,0.1644295302013423,0.22818791946308725,0.17114093959731544,0.15436241610738255,0.08389261744966443,0.06375838926174497
BI分析师,0.6785714285714286,0.4857142857142857,0.4142857142857143,0.40714285714285714,0.5,0.17857142857142858,0.25,0.15714285714285714,0.17857142857142858,0.12857142857142856
用户分析师,0.48507462686567165,0.27611940298507465,0.3656716417910448,0.11940298507462686,0.08208955223880597,0.14925373134328357,0.1044776119402985,0.14925373134328357,0.11940298507462686,0.05970149253731343
经营分析师,0.3442622950819672,0.4426229508196721,0.26229508196721313,0.11475409836065574,0.11475409836065574,0.14754098360655737,0.07377049180327869,0.04918032786885246,0.040983606557377046,0.040983606557377046
商业分析师,0.47115384615384615,0.27884615384615385,0.28846153846153844,0.15384615384615385,0.16346153846153846,0.17307692307692307,0.07692307692307693,0.07692307692307693,0.057692307692307696,0.04807692307692308
商务分析师,0.3333333333333333,0.47435897435897434,0.21794871794871795,0.21794871794871795,0.19230769230769232,0.08974358974358974,0.1282051282051282,0.10256410256410256,0.01282051282051282,0.038461538461538464
数据运营分析师,0.2361111111111111,0.4027777777777778,0.20833333333333334,0.05555555555555555,0.041666666666666664,0.1111111111111111,0.08333333333333333,0.013888888888888888,0.013888888888888888,0.041666666666666664
运营分析师,0.38571428571428573,0.4,0.2571428571428571,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.12857142857142856,0.02857142857142857,0.05714285714285714,0.014285714285714285
