keyword,version,rank,term,doc_freq,avg_weight,total_weight
BI分析师,raw,1,数据,126,0.8735965235426658,110.07316196637589
BI分析师,raw,2,分析,92,0.5100979790937469,46.92901407662472
BI分析师,raw,3,业务,90,0.5691324510995021,51.22192059895519
BI分析师,raw,4,报表,44,0.42933966585571287,18.890945297651367
BI分析师,raw,5,bi,37,0.43859483490005446,16.66660372620207
BI分析师,raw,6,优化,31,0.33123910996999156,10.268412409069738
BI分析师,raw,7,项目,30,0.5189999222190979,15.569997666572936
BI分析师,raw,8,报告,27,0.3653044603297635,9.863220428903615
BI分析师,raw,9,统计学,26,0.3272599386084882,8.508758403820693
BI分析师,raw,10,流程,24,0.42209662542965365,10.130319010311688
BI分析师,raw,11,运营,24,0.39115007011853103,9.387601682844744
BI分析师,raw,12,产品,24,0.38535187317550496,9.248444956212118
BI分析师,raw,13,可视化,24,0.3319319893536685,7.9663677444880445
BI分析师,raw,14,技术,22,0.3200686594798291,7.04151050855624
BI分析师,raw,15,体系,21,0.40304882946952636,8.464025418860054
BI分析师,raw,16,计算机,21,0.34527044931409245,7.250679435595941
BI分析师,raw,17,管理,20,0.46046542890782505,9.2093085781565
BI分析师,raw,18,数学,20,0.282339781286267,5.646795625725341
BI分析师,raw,19,设计,19,0.41338081954041267,7.85423557126784
BI分析师,raw,20,指标,19,0.35541342792800773,6.752855130632147
BI分析师,filtered,1,报表,44,0.42933966585571287,18.890945297651367
BI分析师,filtered,2,bi,37,0.43859483490005446,16.66660372620207
BI分析师,filtered,3,优化,31,0.33123910996999156,10.268412409069738
BI分析师,filtered,4,报告,27,0.3653044603297635,9.863220428903615
BI分析师,filtered,5,统计学,26,0.3272599386084882,8.508758403820693
BI分析师,filtered,6,运营,24,0.39115007011853103,9.387601682844744
BI分析师,filtered,7,产品,24,0.38535187317550496,9.248444956212118
BI分析师,filtered,8,可视化,24,0.3319319893536685,7.9663677444880445
BI分析师,filtered,9,体系,21,0.40304882946952636,8.464025418860054
BI分析师,filtered,10,计算机,21,0.34527044931409245,7.250679435595941
BI分析师,filtered,11,数学,20,0.282339781286267,5.646795625725341
BI分析师,filtered,12,指标,19,0.35541342792800773,6.752855130632147
BI分析师,filtered,13,监控,19,0.3101536675752805,5.892919683930329
BI分析师,filtered,14,决策,18,0.3636064115810278,6.5449154084585
BI分析师,filtered,15,模型,17,0.40256528572915107,6.843609857395568
BI分析师,filtered,16,平台,17,0.3637233089254622,6.183296251732857
BI分析师,filtered,17,行业,15,0.42871315168792595,6.430697275318889
BI分析师,filtered,18,客户,14,0.6052669164252403,8.473736829953365
BI分析师,filtered,19,软件,14,0.4562017027779666,6.386823838891533
BI分析师,filtered,20,用户,13,0.46263857104039396,6.014301423525121
商业分析师,raw,1,分析,92,0.6346817836441757,58.39072409526417
商业分析师,raw,2,业务,72,0.6220312519667032,44.78625014160263
商业分析师,raw,3,数据,70,0.7035277241614474,49.24694069130132
商业分析师,raw,4,商业,45,0.4538396523472478,20.422784355626153
商业分析师,raw,5,经营,28,0.5036670377042591,14.102677055719257
商业分析师,raw,6,策略,24,0.6015367114932038,14.43688107583689
商业分析师,raw,7,行业,24,0.43975503991098525,10.554120957863645
商业分析师,raw,8,分析师,24,0.305332637051189,7.327983289228537
商业分析师,raw,9,优化,20,0.36327595449644795,7.265519089928959
商业分析师,raw,10,管理,16,0.5312108221377818,8.499373154204509
商业分析师,raw,11,核心,16,0.3939557201525242,6.303291522440388
商业分析师,raw,12,用户,16,0.37523086462541816,6.0036938340066905
商业分析师,raw,13,运营,15,0.4562617184363641,6.843925776545461
商业分析师,raw,14,市场,15,0.3866663975625021,5.7999959634375315
商业分析师,raw,15,产品,14,0.4969526599880755,6.957337239833056
商业分析师,raw,16,报告,14,0.31079066816413997,4.35106935429796
商业分析师,raw,17,模型,13,0.41068521762556415,5.338907829132334
商业分析师,raw,18,研究,12,0.45835635679042325,5.500276281485079
商业分析师,raw,19,项目,12,0.3756245694106998,4.507494832928398
商业分析师,raw,20,服务,12,0.36544994066905856,4.385399288028703
商业分析师,filtered,1,商业,45,0.4538396523472478,20.422784355626153
商业分析师,filtered,2,经营,28,0.5036670377042591,14.102677055719257
商业分析师,filtered,3,策略,24,0.6015367114932038,14.43688107583689
商业分析师,filtered,4,行业,24,0.43975503991098525,10.554120957863645
商业分析师,filtered,5,优化,20,0.36327595449644795,7.265519089928959
商业分析师,filtered,6,用户,16,0.37523086462541816,6.0036938340066905
